Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1314, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1261, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1308, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 136, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /assets/bundle.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /fontawesome/css/all.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /assets/bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:17] "GET /fontawesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:18] "GET /images/juniper-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:40:18] "GET /images/cisco-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /fontawesome/css/all.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /assets/bundle.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /assets/bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /fontawesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /images/cisco-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [06/Jan/2026 09:48:13] "GET /images/juniper-logo.svg HTTP/1.1" 200 -
